MUNICÍPIO - TOM;UF
ARAPOEMA;TO
ARRAIAS;TO
ARUANÃ;GO
AURILÂNDIA;GO
AURORA DO TOCANTINS;TO
AVELINÓPOLIS;GO
AXIXÁ DO TOCANTINS;TO
BABAÇULÂNDIA;TO
BALIZA;GO
BARRO ALTO;GO
BELA VISTA DE GOIÁS;GO
BOM JARDIM DE GOIÁS;GO
BOM JESUS;GO
BRAZABRANTES;GO
BREJINHO DE NAZARÉ;TO
BRITÂNIA;GO
BURITI ALEGRE;GO
CABECEIRAS;GO
CACHOEIRA ALTA;GO
CACHOEIRA DE GOIÁS;GO
CAÇU;GO
CAIAPÔNIA;GO
CALDAS NOVAS;GO
CAMPESTRE DE GOIÁS;GO
CAMPINORTE;GO
CAMPO ALEGRE DE GOIÁS;GO
CAMPOS BELOS;GO
CARMO DO RIO VERDE;GO
CATALÃO;GO
CATURAÍ;GO
CAVALCANTE;GO
CERES;GO
DIVINÓPOLIS DE GOIÁS;GO
COLINAS DO TOCANTINS;TO
CONCEIÇÃO DO TOCANTINS;TO
CÓRREGO DO OURO;GO
CORUMBÁ DE GOIÁS;GO
CORUMBAÍBA;GO
COUTO DE MAGALHÃES;TO
CRISTALÂNDIA;TO
CRISTALINA;GO
CRISTIANÓPOLIS;GO
CRIXÁS;GO
CROMÍNIA;GO
CUMARI;GO
DAMIANÓPOLIS;GO
DAMOLÂNDIA;GO
DAVINÓPOLIS;GO
DIANÓPOLIS;TO
DIORAMA;GO
DOIS IRMÃOS DO TOCANTINS;TO
DUERÉ;TO
EDÉIA;GO
ESTRELA DO NORTE;GO
FAZENDA NOVA;GO
FILADÉLFIA;TO
FIRMINÓPOLIS;GO
RIO VERDE;GO
RUBIATABA;GO
SANCLERLÂNDIA;GO
SANTA BÁRBARA DE GOIÁS;GO
SANTA CRUZ DE GOIÁS;GO
SANTA HELENA DE GOIÁS;GO
SANTA RITA DO ARAGUAIA;GO
SANTA ROSA DE GOIÁS;GO
SANTA TEREZA DE GOIÁS;GO
SANTA TEREZINHA DE GOIÁS;GO
SÃO DOMINGOS;GO
SÃO FRANCISCO DE GOIÁS;GO
PLANALTINA;GO
SÃO JOÃO D'ALIANÇA;GO
SÃO LUÍS DE MONTES BELOS;GO
SÃO MIGUEL DO ARAGUAIA;GO
SÃO SEBASTIÃO DO TOCANTINS;TO
SÃO SIMÃO;GO
SERRANÓPOLIS;GO
SILVÂNIA;GO
SÍTIO D'ABADIA;GO
SÍTIO NOVO DO TOCANTINS;TO
TAGUATINGA;TO
TAQUARAL DE GOIÁS;GO
TOCANTÍNIA;TO
TOCANTINÓPOLIS;TO
TRÊS RANCHOS;GO
TRINDADE;GO
GUARAÍ;TO
PRESIDENTE KENNEDY;TO
TURVÂNIA;GO
URUAÇU;GO
URUANA;GO
URUTAÍ;GO
VARJÃO;GO
VIANÓPOLIS;GO
XAMBIOÁ;TO
ACREÚNA;GO
MINAÇU;GO
PALMEIRÓPOLIS;TO
MUNDO NOVO;GO
NOVA CRIXÁS;GO
NOVA GLÓRIA;GO
VICENTINÓPOLIS;GO
SILVANÓPOLIS;TO
AMERICANO DO BRASIL;GO
NOVA OLINDA;TO
WANDERLÂNDIA;TO
FIGUEIRÓPOLIS;TO
ARAGUAPAZ;GO
ARENÓPOLIS;GO
CACHOEIRA DOURADA;GO
DOVERLÂNDIA;GO
SANTO ANTÔNIO DO DESCOBERTO;GO
RIO SONO;TO
INDIARA;GO
FÁTIMA;TO
AUGUSTINÓPOLIS;TO
CAMPINAÇU;GO
SANTA ISABEL;GO
SÃO VALÉRIO DA NATIVIDADE;TO
BARROLÂNDIA;TO
BERNARDO SAYÃO;TO
COMBINADO;TO
GOIANORTE;TO
BRASÍLIA;DF
NOVO ALEGRE;TO
PEQUIZEIRO;TO
MARIANÓPOLIS DO TOCANTINS;TO
APARECIDA DO RIO NEGRO;TO
BURITI DO TOCANTINS;TO
CASEARA;TO
DIVINÓPOLIS DO TOCANTINS;TO
NOVA ROSALÂNDIA;TO
PORTO ALEGRE DO TOCANTINS;TO
PRAIA NORTE;TO
SAMPAIO;TO
SANTA ROSA DO TOCANTINS;TO
SANTA TEREZA DO TOCANTINS;TO
PALMAS;TO
NOVO PLANALTO;GO
PALESTINA DE GOIÁS;GO
PARANHOS;MS
RIBEIRÃO CASCALHEIRA;MT
SANTA FÉ DE GOIÁS;GO
SANTA RITA DO PARDO;MS
SÃO JOÃO DA PARAÚNA;GO
SÃO LUIZ DO NORTE;GO
SÃO MIGUEL DO PASSA QUATRO;GO
SENADOR CANEDO;GO
SIMOLÂNDIA;GO
SONORA;MS
TERESINA DE GOIÁS;GO
TROMBAS;GO
TAPURAH;MT
TURVELÂNDIA;GO
ALAGOINHA DO PIAUÍ;PI
ADELÂNDIA;GO
ÁGUA FRIA DE GOIÁS;GO
APIACÁS;MT
BONFINÓPOLIS;GO
CAMPO NOVO DO PARECIS;MT
CAMPO VERDE;MT
CAMPOS VERDES;GO
CASTANHEIRA;MT
CEZARINA;GO
CHAPADÃO DO SUL;MS
CLÁUDIA;MT
COLINAS DO SUL;GO
DOIS IRMÃOS DO BURITI;MS
EDEALINA;GO
FAINA;GO
GOUVELÂNDIA;GO
BODOQUENA;MS
COSTA RICA;MS
DOURADINA;MS
ITAQUIRAÍ;MS
SÃO GABRIEL DO OESTE;MS
SELVÍRIA;MS
SETE QUEDAS;MS
TACURU;MS
TAQUARUSSU;MS
JUARA;MT
TEUTÔNIA;RS
BOM PRINCÍPIO;RS
PAROBÉ;RS
FORTALEZA DOS VALOS;RS
JÓIA;RS
JUÍNA;MT
DENISE;MT
IRANDUBA;AM
ITAMARATI;AM
MANAQUIRI;AM
PRESIDENTE FIGUEIREDO;AM
RIO PRETO DA EVA;AM
SÃO SEBASTIÃO DO UATUMÃ;AM
TABATINGA;AM
UARINI;AM
TONANTINS;AM
QUIXELÔ;CE
UMIRIM;CE
VARJOTA;CE
JABORANDI;BA
JANGADA;MT
CAMPINÁPOLIS;MT
COCALINHO;MT
NOVO SÃO JOAQUIM;MT
ARAGUAIANA;MT
PRIMAVERA DO LESTE;MT
BRASNORTE;MT
PORTO ESPERIDIÃO;MT
INDIAVAÍ;MT
RESERVA DO CABAÇAL;MT
FIGUEIRÓPOLIS D'OESTE;MT
COMODORO;MT
PARANAÍTA;MT
GUARANTÃ DO NORTE;MT
NOVA CANAÃ DO NORTE;MT
PEIXOTO DE AZEVEDO;MT
NOVA OLÍMPIA;MT
PORTO ALEGRE DO NORTE;MT
VILA RICA;MT
MARCELÂNDIA;MT
ITAÚBA;MT
NOVO HORIZONTE DO NORTE;MT
VERA;MT
SORRISO;MT
TERRA NOVA DO NORTE;MT
ALTO TAQUARI;MT
NOVA TEBAS;PR
DIAMANTE D'OESTE;PR
QUITERIANÓPOLIS;CE
ITAGUARI;GO
JURUENA;MT
JUTI;MS
LUCAS DO RIO VERDE;MT
MATRINCHÃ;GO
MATUPÁ;MT
MIMOSO DE GOIÁS;GO
MONTIVIDIU;GO
MORRO AGUDO DE GOIÁS;GO
NOVA MUTUM;MT
ABDON BATISTA;SC
APIÚNA;SC
CELSO RAMOS;SC
DOUTOR PEDRINHO;SC
GODOY MOREIRA;PR
IBEMA;PR
IPORÃ DO OESTE;SC
IRACEMINHA;SC
IVATÉ;PR
JOSÉ BOITEUX;SC
LINDOESTE;PR
LINDÓIA DO SUL;SC
MAREMA;SC
OURO VERDE DO OESTE;PR
SANTA ROSA DO SUL;SC
SANTA TEREZA DO OESTE;PR
TIMBÓ GRANDE;SC
UNIÃO DO OESTE;SC
URUPEMA;SC
VITOR MEIRELES;SC
BOM SUCESSO DO SUL;PR
HONÓRIO SERPA;PR
FAZENDA RIO GRANDE;PR
ITAPOÁ;SC
SERRA ALTA;SC
TUNÁPOLIS;SC
GUARINOS;GO
RIO QUENTE;GO
CORONEL SAPUCAIA;MS
